"County and City","CensusYear","Statistic","UNIT","VALUE"
"State","1991","Total housing stock","Number","1160249"
"State","1991","Vacant","Number","105142"
"State","1991","Vacancy rate","%","9.1"
"State","1996","Total housing stock","Number","1258948"
"State","1996","Vacant","Number","105250"
"State","1996","Vacancy rate","%","8.4"
"State","2002","Total housing stock","Number","1460053"
"State","2002","Vacant","Number","143418"
"State","2002","Vacancy rate","%","9.8"
"State","2006","Total housing stock","Number","1769613"
"State","2006","Vacant","Number","266322"
"State","2006","Vacancy rate","%","15"
"State","2011","Total housing stock","Number","1994845"
"State","2011","Vacant","Number","289451"
"State","2011","Vacancy rate","%","14.5"
"State","2016","Total housing stock","Number","2003645"
"State","2016","Vacant","Number","245460"
"State","2016","Vacancy rate","%","12.3"
"Carlow","1991","Total housing stock","Number","12342"
"Carlow","1991","Vacant","Number","823"
"Carlow","1991","Vacancy rate","%","6.7"
"Carlow","1996","Total housing stock","Number","13422"
"Carlow","1996","Vacant","Number","830"
"Carlow","1996","Vacancy rate","%","6.2"
"Carlow","2002","Total housing stock","Number","16421"
"Carlow","2002","Vacant","Number","1285"
"Carlow","2002","Vacancy rate","%","7.8"
"Carlow","2006","Total housing stock","Number","20135"
"Carlow","2006","Vacant","Number","2475"
"Carlow","2006","Vacancy rate","%","12.3"
"Carlow","2011","Total housing stock","Number","23165"
"Carlow","2011","Vacant","Number","3202"
"Carlow","2011","Vacancy rate","%","13.8"
"Carlow","2016","Total housing stock","Number","23274"
"Carlow","2016","Vacant","Number","2162"
"Carlow","2016","Vacancy rate","%","9.3"
"Dublin City","1991","Total housing stock","Number","175933"
"Dublin City","1991","Vacant","Number","9670"
"Dublin City","1991","Vacancy rate","%","5.5"
"Dublin City","1996","Total housing stock","Number","189741"
"Dublin City","1996","Vacant","Number","10759"
"Dublin City","1996","Vacancy rate","%","5.7"
"Dublin City","2002","Total housing stock","Number","199463"
"Dublin City","2002","Vacant","Number","12002"
"Dublin City","2002","Vacancy rate","%","6"
"Dublin City","2006","Total housing stock","Number","223098"
"Dublin City","2006","Vacant","Number","26092"
"Dublin City","2006","Vacancy rate","%","11.7"
"Dublin City","2011","Total housing stock","Number","241678"
"Dublin City","2011","Vacant","Number","24638"
"Dublin City","2011","Vacancy rate","%","10.2"
"Dublin City","2016","Total housing stock","Number","240553"
"Dublin City","2016","Vacant","Number","19446"
"Dublin City","2016","Vacancy rate","%","8.1"
"Dún Laoghaire-Rathdown","1991","Total housing stock","Number","60448"
"Dún Laoghaire-Rathdown","1991","Vacant","Number","2447"
"Dún Laoghaire-Rathdown","1991","Vacancy rate","%","4"
"Dún Laoghaire-Rathdown","1996","Total housing stock","Number","65504"
"Dún Laoghaire-Rathdown","1996","Vacant","Number","2076"
"Dún Laoghaire-Rathdown","1996","Vacancy rate","%","3.2"
"Dún Laoghaire-Rathdown","2002","Total housing stock","Number","69444"
"Dún Laoghaire-Rathdown","2002","Vacant","Number","2979"
"Dún Laoghaire-Rathdown","2002","Vacancy rate","%","4.3"
"Dún Laoghaire-Rathdown","2006","Total housing stock","Number","77508"
"Dún Laoghaire-Rathdown","2006","Vacant","Number","6928"
"Dún Laoghaire-Rathdown","2006","Vacancy rate","%","8.9"
"Dún Laoghaire-Rathdown","2011","Total housing stock","Number","85896"
"Dún Laoghaire-Rathdown","2011","Vacant","Number","6616"
"Dún Laoghaire-Rathdown","2011","Vacancy rate","%","7.7"
"Dún Laoghaire-Rathdown","2016","Total housing stock","Number","86962"
"Dún Laoghaire-Rathdown","2016","Vacant","Number","4788"
"Dún Laoghaire-Rathdown","2016","Vacancy rate","%","5.5"
"Fingal","1991","Total housing stock","Number","43348"
"Fingal","1991","Vacant","Number","1682"
"Fingal","1991","Vacancy rate","%","3.9"
"Fingal","1996","Total housing stock","Number","50626"
"Fingal","1996","Vacant","Number","1702"
"Fingal","1996","Vacancy rate","%","3.4"
"Fingal","2002","Total housing stock","Number","65432"
"Fingal","2002","Vacant","Number","3212"
"Fingal","2002","Vacancy rate","%","4.9"
"Fingal","2006","Total housing stock","Number","89909"
"Fingal","2006","Vacant","Number","7878"
"Fingal","2006","Vacancy rate","%","8.8"
"Fingal","2011","Total housing stock","Number","102793"
"Fingal","2011","Vacant","Number","7204"
"Fingal","2011","Vacancy rate","%","7"
"Fingal","2016","Total housing stock","Number","104851"
"Fingal","2016","Vacant","Number","5233"
"Fingal","2016","Vacancy rate","%","5"
"South Dublin","1991","Total housing stock","Number","57182"
"South Dublin","1991","Vacant","Number","1490"
"South Dublin","1991","Vacancy rate","%","2.6"
"South Dublin","1996","Total housing stock","Number","64223"
"South Dublin","1996","Vacant","Number","1407"
"South Dublin","1996","Vacancy rate","%","2.2"
"South Dublin","2002","Total housing stock","Number","76666"
"South Dublin","2002","Vacant","Number","2126"
"South Dublin","2002","Vacancy rate","%","2.8"
"South Dublin","2006","Total housing stock","Number","87484"
"South Dublin","2006","Vacant","Number","5407"
"South Dublin","2006","Vacancy rate","%","6.2"
"South Dublin","2011","Total housing stock","Number","97298"
"South Dublin","2011","Vacant","Number","5249"
"South Dublin","2011","Vacancy rate","%","5.4"
"South Dublin","2016","Total housing stock","Number","98387"
"South Dublin","2016","Vacant","Number","3530"
"South Dublin","2016","Vacancy rate","%","3.6"
"Kildare","1991","Total housing stock","Number","35580"
"Kildare","1991","Vacant","Number","1812"
"Kildare","1991","Vacancy rate","%","5.1"
"Kildare","1996","Total housing stock","Number","41477"
"Kildare","1996","Vacant","Number","1480"
"Kildare","1996","Vacancy rate","%","3.6"
"Kildare","2002","Total housing stock","Number","54589"
"Kildare","2002","Vacant","Number","3198"
"Kildare","2002","Vacancy rate","%","5.9"
"Kildare","2006","Total housing stock","Number","68840"
"Kildare","2006","Vacant","Number","6838"
"Kildare","2006","Vacancy rate","%","9.9"
"Kildare","2011","Total housing stock","Number","78794"
"Kildare","2011","Vacant","Number","6311"
"Kildare","2011","Vacancy rate","%","8"
"Kildare","2016","Total housing stock","Number","80158"
"Kildare","2016","Vacant","Number","4712"
"Kildare","2016","Vacancy rate","%","5.9"
"Kilkenny","1991","Total housing stock","Number","22763"
"Kilkenny","1991","Vacant","Number","1763"
"Kilkenny","1991","Vacancy rate","%","7.7"
"Kilkenny","1996","Total housing stock","Number","24365"
"Kilkenny","1996","Vacant","Number","1558"
"Kilkenny","1996","Vacancy rate","%","6.4"
"Kilkenny","2002","Total housing stock","Number","27811"
"Kilkenny","2002","Vacant","Number","1833"
"Kilkenny","2002","Vacancy rate","%","6.6"
"Kilkenny","2006","Total housing stock","Number","34353"
"Kilkenny","2006","Vacant","Number","4108"
"Kilkenny","2006","Vacancy rate","%","12"
"Kilkenny","2011","Total housing stock","Number","39005"
"Kilkenny","2011","Vacant","Number","4624"
"Kilkenny","2011","Vacancy rate","%","11.9"
"Kilkenny","2016","Total housing stock","Number","39226"
"Kilkenny","2016","Vacant","Number","3546"
"Kilkenny","2016","Vacancy rate","%","9"
"Laois","1991","Total housing stock","Number","16080"
"Laois","1991","Vacant","Number","1413"
"Laois","1991","Vacancy rate","%","8.8"
"Laois","1996","Total housing stock","Number","17323"
"Laois","1996","Vacant","Number","1370"
"Laois","1996","Vacancy rate","%","7.9"
"Laois","2002","Total housing stock","Number","20561"
"Laois","2002","Vacant","Number","1864"
"Laois","2002","Vacancy rate","%","9.1"
"Laois","2006","Total housing stock","Number","27079"
"Laois","2006","Vacant","Number","4240"
"Laois","2006","Vacancy rate","%","15.7"
"Laois","2011","Total housing stock","Number","32664"
"Laois","2011","Vacant","Number","4087"
"Laois","2011","Vacancy rate","%","12.5"
"Laois","2016","Total housing stock","Number","32794"
"Laois","2016","Vacant","Number","3160"
"Laois","2016","Vacancy rate","%","9.6"
"Longford","1991","Total housing stock","Number","10606"
"Longford","1991","Vacant","Number","1453"
"Longford","1991","Vacancy rate","%","13.7"
"Longford","1996","Total housing stock","Number","10770"
"Longford","1996","Vacant","Number","1161"
"Longford","1996","Vacancy rate","%","10.8"
"Longford","2002","Total housing stock","Number","12060"
"Longford","2002","Vacant","Number","1548"
"Longford","2002","Vacancy rate","%","12.8"
"Longford","2006","Total housing stock","Number","15868"
"Longford","2006","Vacant","Number","3523"
"Longford","2006","Vacancy rate","%","22.2"
"Longford","2011","Total housing stock","Number","18823"
"Longford","2011","Vacant","Number","4075"
"Longford","2011","Vacancy rate","%","21.6"
"Longford","2016","Total housing stock","Number","18591"
"Longford","2016","Vacant","Number","3102"
"Longford","2016","Vacancy rate","%","16.7"
"Louth","1991","Total housing stock","Number","28391"
"Louth","1991","Vacant","Number","1983"
"Louth","1991","Vacancy rate","%","7"
"Louth","1996","Total housing stock","Number","34635"
"Louth","1996","Vacant","Number","2249"
"Louth","1996","Vacancy rate","%","6.5"
"Louth","2002","Total housing stock","Number","37441"
"Louth","2002","Vacant","Number","3053"
"Louth","2002","Vacancy rate","%","8.2"
"Louth","2006","Total housing stock","Number","45488"
"Louth","2006","Vacant","Number","6107"
"Louth","2006","Vacancy rate","%","13.4"
"Louth","2011","Total housing stock","Number","51186"
"Louth","2011","Vacant","Number","6232"
"Louth","2011","Vacancy rate","%","12.2"
"Louth","2016","Total housing stock","Number","51399"
"Louth","2016","Vacant","Number","4713"
"Louth","2016","Vacancy rate","%","9.2"
"Meath","1991","Total housing stock","Number","31582"
"Meath","1991","Vacant","Number","2333"
"Meath","1991","Vacancy rate","%","7.4"
"Meath","1996","Total housing stock","Number","30729"
"Meath","1996","Vacant","Number","1882"
"Meath","1996","Vacancy rate","%","6.1"
"Meath","2002","Total housing stock","Number","44972"
"Meath","2002","Vacant","Number","2895"
"Meath","2002","Vacancy rate","%","6.4"
"Meath","2006","Total housing stock","Number","61257"
"Meath","2006","Vacant","Number","6485"
"Meath","2006","Vacancy rate","%","10.6"
"Meath","2011","Total housing stock","Number","69697"
"Meath","2011","Vacant","Number","6173"
"Meath","2011","Vacancy rate","%","8.9"
"Meath","2016","Total housing stock","Number","70649"
"Meath","2016","Vacant","Number","4875"
"Meath","2016","Vacancy rate","%","6.9"
"Offaly","1991","Total housing stock","Number","17927"
"Offaly","1991","Vacant","Number","1353"
"Offaly","1991","Vacancy rate","%","7.5"
"Offaly","1996","Total housing stock","Number","19182"
"Offaly","1996","Vacant","Number","1317"
"Offaly","1996","Vacancy rate","%","6.9"
"Offaly","2002","Total housing stock","Number","22071"
"Offaly","2002","Vacant","Number","1708"
"Offaly","2002","Vacancy rate","%","7.7"
"Offaly","2006","Total housing stock","Number","27591"
"Offaly","2006","Vacant","Number","3550"
"Offaly","2006","Vacancy rate","%","12.9"
"Offaly","2011","Total housing stock","Number","30750"
"Offaly","2011","Vacant","Number","3620"
"Offaly","2011","Vacancy rate","%","11.8"
"Offaly","2016","Total housing stock","Number","30740"
"Offaly","2016","Vacant","Number","2884"
"Offaly","2016","Vacancy rate","%","9.4"
"Westmeath","1991","Total housing stock","Number","19978"
"Westmeath","1991","Vacant","Number","1766"
"Westmeath","1991","Vacancy rate","%","8.8"
"Westmeath","1996","Total housing stock","Number","21530"
"Westmeath","1996","Vacant","Number","1746"
"Westmeath","1996","Vacancy rate","%","8.1"
"Westmeath","2002","Total housing stock","Number","26484"
"Westmeath","2002","Vacant","Number","2559"
"Westmeath","2002","Vacancy rate","%","9.7"
"Westmeath","2006","Total housing stock","Number","32817"
"Westmeath","2006","Vacant","Number","5015"
"Westmeath","2006","Vacancy rate","%","15.3"
"Westmeath","2011","Total housing stock","Number","36659"
"Westmeath","2011","Vacant","Number","4921"
"Westmeath","2011","Vacancy rate","%","13.4"
"Westmeath","2016","Total housing stock","Number","36890"
"Westmeath","2016","Vacant","Number","4009"
"Westmeath","2016","Vacancy rate","%","10.9"
"Wexford","1991","Total housing stock","Number","33095"
"Wexford","1991","Vacant","Number","3708"
"Wexford","1991","Vacancy rate","%","11.2"
"Wexford","1996","Total housing stock","Number","35650"
"Wexford","1996","Vacant","Number","3763"
"Wexford","1996","Vacancy rate","%","10.6"
"Wexford","2002","Total housing stock","Number","45334"
"Wexford","2002","Vacant","Number","7578"
"Wexford","2002","Vacancy rate","%","16.7"
"Wexford","2006","Total housing stock","Number","58970"
"Wexford","2006","Vacant","Number","12692"
"Wexford","2006","Vacancy rate","%","21.5"
"Wexford","2011","Total housing stock","Number","68143"
"Wexford","2011","Vacant","Number","14329"
"Wexford","2011","Vacancy rate","%","21"
"Wexford","2016","Total housing stock","Number","68206"
"Wexford","2016","Vacant","Number","12547"
"Wexford","2016","Vacancy rate","%","18.4"
"Wicklow","1991","Total housing stock","Number","31709"
