"Statistic","CensusYear","County","UNIT","VALUE"
"Population","1926","Ireland","Number","2971992"
"Population","1926","Co. Carlow","Number","34476"
"Population","1926","Co. Cavan","Number","82452"
"Population","1926","Co. Clare","Number","95064"
"Population","1926","Co. Cork","Number","365747"
"Population","1926","Co. Donegal","Number","152508"
"Population","1926","Co. Dublin","Number","505654"
"Population","1926","Co. Galway","Number","169366"
"Population","1926","Co. Kerry","Number","149171"
"Population","1926","Co. Kildare","Number","58028"
"Population","1926","Co. Kilkenny","Number","70990"
"Population","1926","Co. Laois","Number","51540"
"Population","1926","Co. Leitrim","Number","55907"
"Population","1926","Co. Limerick","Number","140343"
"Population","1926","Co. Longford","Number","39847"
"Population","1926","Co. Louth","Number","62739"
"Population","1926","Co. Mayo","Number","172690"
"Population","1926","Co. Meath","Number","62969"
"Population","1926","Co. Monaghan","Number","65131"
"Population","1926","Co. Offaly","Number","52592"
"Population","1926","Co. Roscommon","Number","83556"
"Population","1926","Co. Sligo","Number","71388"
"Population","1926","Co. Tipperary","Number","141015"
"Population","1926","Co. Waterford","Number","78562"
"Population","1926","Co. Westmeath","Number","56818"
"Population","1926","Co. Wexford","Number","95848"
"Population","1926","Co. Wicklow","Number","57591"
"Population","1936","Ireland","Number","2968420"
"Population","1936","Co. Carlow","Number","34452"
"Population","1936","Co. Cavan","Number","76670"
"Population","1936","Co. Clare","Number","89879"
"Population","1936","Co. Cork","Number","355957"
"Population","1936","Co. Donegal","Number","142310"
"Population","1936","Co. Dublin","Number","586925"
"Population","1936","Co. Galway","Number","168198"
"Population","1936","Co. Kerry","Number","139834"
"Population","1936","Co. Kildare","Number","57892"
"Population","1936","Co. Kilkenny","Number","68614"
"Population","1936","Co. Laois","Number","50109"
"Population","1936","Co. Leitrim","Number","50908"
"Population","1936","Co. Limerick","Number","141153"
"Population","1936","Co. Longford","Number","37847"
"Population","1936","Co. Louth","Number","64339"
"Population","1936","Co. Mayo","Number","161349"
"Population","1936","Co. Meath","Number","61405"
"Population","1936","Co. Monaghan","Number","61289"
"Population","1936","Co. Offaly","Number","51308"
"Population","1936","Co. Roscommon","Number","77566"
"Population","1936","Co. Sligo","Number","67447"
"Population","1936","Co. Tipperary","Number","137835"
"Population","1936","Co. Waterford","Number","77614"
"Population","1936","Co. Westmeath","Number","54706"
"Population","1936","Co. Wexford","Number","94245"
"Population","1936","Co. Wicklow","Number","58569"
"Population","1946","Ireland","Number","2955107"
"Population","1946","Co. Carlow","Number","34081"
"Population","1946","Co. Cavan","Number","70355"
"Population","1946","Co. Clare","Number","85064"
"Population","1946","Co. Cork","Number","343668"
"Population","1946","Co. Donegal","Number","136317"
"Population","1946","Co. Dublin","Number","636193"
"Population","1946","Co. Galway","Number","165201"
"Population","1946","Co. Kerry","Number","133893"
"Population","1946","Co. Kildare","Number","64849"
"Population","1946","Co. Kilkenny","Number","66712"
"Population","1946","Co. Laois","Number","49697"
"Population","1946","Co. Leitrim","Number","44591"
"Population","1946","Co. Limerick","Number","142559"
"Population","1946","Co. Longford","Number","36218"
"Population","1946","Co. Louth","Number","66194"
"Population","1946","Co. Mayo","Number","148120"
"Population","1946","Co. Meath","Number","66232"
"Population","1946","Co. Monaghan","Number","57215"
"Population","1946","Co. Offaly","Number","53686"
"Population","1946","Co. Roscommon","Number","72510"
"Population","1946","Co. Sligo","Number","62375"
"Population","1946","Co. Tipperary","Number","136014"
"Population","1946","Co. Waterford","Number","76108"
"Population","1946","Co. Westmeath","Number","54949"
"Population","1946","Co. Wexford","Number","91855"
"Population","1946","Co. Wicklow","Number","60451"
"Population","1951","Ireland","Number","2960593"
"Population","1951","Co. Carlow","Number","34162"
"Population","1951","Co. Cavan","Number","66377"
"Population","1951","Co. Clare","Number","81329"
"Population","1951","Co. Cork","Number","341284"
"Population","1951","Co. Donegal","Number","131530"
"Population","1951","Co. Dublin","Number","693022"
"Population","1951","Co. Galway","Number","160204"
"Population","1951","Co. Kerry","Number","126644"
"Population","1951","Co. Kildare","Number","66437"
"Population","1951","Co. Kilkenny","Number","65235"
"Population","1951","Co. Laois","Number","48430"
"Population","1951","Co. Leitrim","Number","41209"
"Population","1951","Co. Limerick","Number","141239"
"Population","1951","Co. Longford","Number","34553"
"Population","1951","Co. Louth","Number","68771"
"Population","1951","Co. Mayo","Number","141867"
"Population","1951","Co. Meath","Number","66337"
"Population","1951","Co. Monaghan","Number","55345"
"Population","1951","Co. Offaly","Number","52544"
"Population","1951","Co. Roscommon","Number","68102"
"Population","1951","Co. Sligo","Number","60513"
"Population","1951","Co. Tipperary","Number","133313"
"Population","1951","Co. Waterford","Number","75061"
"Population","1951","Co. Westmeath","Number","54463"
"Population","1951","Co. Wexford","Number","90032"
"Population","1951","Co. Wicklow","Number","62590"
"Population","1956","Ireland","Number","2898264"
"Population","1956","Co. Carlow","Number","33888"
"Population","1956","Co. Cavan","Number","61740"
"Population","1956","Co. Clare","Number","77176"
"Population","1956","Co. Cork","Number","336663"
"Population","1956","Co. Donegal","Number","122059"
"Population","1956","Co. Dublin","Number","705781"
"Population","1956","Co. Galway","Number","155553"
"Population","1956","Co. Kerry","Number","122072"
"Population","1956","Co. Kildare","Number","65915"
"Population","1956","Co. Kilkenny","Number","64089"
"Population","1956","Co. Laois","Number","47087"
"Population","1956","Co. Leitrim","Number","37056"
"Population","1956","Co. Limerick","Number","137881"
"Population","1956","Co. Longford","Number","32969"
"Population","1956","Co. Louth","Number","69194"
"Population","1956","Co. Mayo","Number","133052"
"Population","1956","Co. Meath","Number","66762"
"Population","1956","Co. Monaghan","Number","52064"
"Population","1956","Co. Offaly","Number","51970"
"Population","1956","Co. Roscommon","Number","63710"
"Population","1956","Co. Sligo","Number","56850"
"Population","1956","Co. Tipperary","Number","129415"
"Population","1956","Co. Waterford","Number","74031"
"Population","1956","Co. Westmeath","Number","54122"
"Population","1956","Co. Wexford","Number","87259"
"Population","1956","Co. Wicklow","Number","59906"
"Population","1961","Ireland","Number","2818341"
"Population","1961","Co. Carlow","Number","33342"
"Population","1961","Co. Cavan","Number","56594"
"Population","1961","Co. Clare","Number","73702"
"Population","1961","Co. Cork","Number","330443"
"Population","1961","Co. Donegal","Number","113842"
"Population","1961","Co. Dublin","Number","718332"
"Population","1961","Co. Galway","Number","149887"
"Population","1961","Co. Kerry","Number","116458"
"Population","1961","Co. Kildare","Number","64420"
"Population","1961","Co. Kilkenny","Number","61668"
"Population","1961","Co. Laois","Number","45069"
"Population","1961","Co. Leitrim","Number","33470"
"Population","1961","Co. Limerick","Number","133339"
"Population","1961","Co. Longford","Number","30643"
"Population","1961","Co. Louth","Number","67378"
"Population","1961","Co. Mayo","Number","123330"
"Population","1961","Co. Meath","Number","65122"
"Population","1961","Co. Monaghan","Number","47088"
"Population","1961","Co. Offaly","Number","51533"
"Population","1961","Co. Roscommon","Number","59217"
"Population","1961","Co. Sligo","Number","53561"
"Population","1961","Co. Tipperary","Number","123822"
"Population","1961","Co. Waterford","Number","71439"
"Population","1961","Co. Westmeath","Number","52861"
"Population","1961","Co. Wexford","Number","83308"
"Population","1961","Co. Wicklow","Number","58473"
"Population","1966","Ireland","Number","2884002"
"Population","1966","Co. Carlow","Number","33593"
"Population","1966","Co. Cavan","Number","54022"
"Population","1966","Co. Clare","Number","73597"
"Population","1966","Co. Cork","Number","339703"
"Population","1966","Co. Donegal","Number","108549"
"Population","1966","Co. Dublin","Number","795047"
"Population","1966","Co. Galway","Number","148340"
"Population","1966","Co. Kerry","Number","112785"
"Population","1966","Co. Kildare","Number","66404"
"Population","1966","Co. Kilkenny","Number","60463"
"Population","1966","Co. Laois","Number","44595"
"Population","1966","Co. Leitrim","Number","30572"
"Population","1966","Co. Limerick","Number","137357"
"Population","1966","Co. Longford","Number","28989"
"Population","1966","Co. Louth","Number","69519"
"Population","1966","Co. Mayo","Number","115547"
"Population","1966","Co. Meath","Number","67323"
"Population","1966","Co. Monaghan","Number","45732"
"Population","1966","Co. Offaly","Number","51717"
"Population","1966","Co. Roscommon","Number","56228"
"Population","1966","Co. Sligo","Number","51263"
"Population","1966","Co. Tipperary","Number","122812"
"Population","1966","Co. Waterford","Number","73080"
"Population","1966","Co. Westmeath","Number","52900"
"Population","1966","Co. Wexford","Number","83437"
"Population","1966","Co. Wicklow","Number","60428"
"Population","1971","Ireland","Number","2978248"
"Population","1971","Co. Carlow","Number","34237"
"Population","1971","Co. Cavan","Number","52618"
"Population","1971","Co. Clare","Number","75008"
"Population","1971","Co. Cork","Number","352883"
"Population","1971","Co. Donegal","Number","108344"
"Population","1971","Co. Dublin","Number","852219"
"Population","1971","Co. Galway","Number","149223"
"Population","1971","Co. Kerry","Number","112772"
"Population","1971","Co. Kildare","Number","71977"
"Population","1971","Co. Kilkenny","Number","61473"
"Population","1971","Co. Laois","Number","45259"
"Population","1971","Co. Leitrim","Number","28360"
"Population","1971","Co. Limerick","Number","140459"
"Population","1971","Co. Longford","Number","28250"
"Population","1971","Co. Louth","Number","74951"
"Population","1971","Co. Mayo","Number","109525"
"Population","1971","Co. Meath","Number","71729"
"Population","1971","Co. Monaghan","Number","46242"
"Population","1971","Co. Offaly","Number","51829"
"Population","1971","Co. Roscommon","Number","53519"
"Population","1971","Co. Sligo","Number","50275"
"Population","1971","Co. Tipperary","Number","123565"
"Population","1971","Co. Waterford","Number","77315"
"Population","1971","Co. Westmeath","Number","53570"
"Population","1971","Co. Wexford","Number","86351"
"Population","1971","Co. Wicklow","Number","66295"
"Population","1979","Ireland","Number","3368217"
"Population","1979","Co. Carlow","Number","38668"
"Population","1979","Co. Cavan","Number","53720"
"Population","1979","Co. Clare","Number","84919"
"Population","1979","Co. Cork","Number","396118"
"Population","1979","Co. Donegal","Number","121941"
"Population","1979","Co. Dublin","Number","983683"
"Population","1979","Co. Galway","Number","167838"
"Population","1979","Co. Kerry","Number","120356"
"Population","1979","Co. Kildare","Number","97185"
"Population","1979","Co. Kilkenny","Number","69156"
"Population","1979","Co. Laois","Number","49936"
"Population","1979","Co. Leitrim","Number","27844"
"Population","1979","Co. Limerick","Number","157407"
