County,Quarter,New_House_n,Sales_Volume_n,Sales_Value_MEur,Median_Price_Eur,Mean_Price_Eur,Stock_House_n,Vacant_House_n,Population
Carlow,2011Q1,17,50,6.8,153205,136542,23165,3202,54612
Carlow,2011Q2,24,59,6.6,110000,111140,23165,3202,54612
Carlow,2011Q3,24,62,5.9,77833,96286,23170,3150,54728
Carlow,2011Q4,38,74,6.1000000000000005,71848,81263,23175,3098,54844
Carlow,2012Q1,17,48,3.9000000000000004,77666,80014,23181,3046,54960
Carlow,2012Q2,10,66,4.6000000000000005,59750,68359,23186,2994,55076
Carlow,2012Q3,11,67,6.1,84333,92883,23192,2942,55192
Carlow,2012Q4,17,112,9.4,71866,83378,23197,2890,55308
Carlow,2013Q1,7,53,4.9,80833,94575,23203,2838,55424
Carlow,2013Q2,10,104,10.2,81319,96183,23208,2786,55540
Carlow,2013Q3,16,96,7.9,81608,90396,23214,2734,55656
Carlow,2013Q4,9,159,14.399999999999999,72236,93995,23219,2682,55772
Carlow,2014Q1,22,67,5.6,88333,83677,23224,2630,55888
Carlow,2014Q2,18,101,8.4,78333,82464,23230,2578,56004
Carlow,2014Q3,21,145,13.1,79083,89101,23235,2526,56120
Carlow,2014Q4,12,175,19.400000000000002,113275,113976,23241,2474,56236
Carlow,2015Q1,17,112,13.0,108166,118744,23246,2422,56352
Carlow,2015Q2,15,125,12.899999999999999,105448,102410,23252,2370,56468
Carlow,2015Q3,34,144,16.5,113833,119494,23257,2318,56584
Carlow,2015Q4,33,200,21.2,94908,109258,23263,2266,56700
Carlow,2016Q1,15,128,13.899999999999999,104333,109746,23268,2214,56816
Carlow,2016Q2,18,99,12.9,124166,128436,23274,2162,56932
Carlow,2016Q3,24,155,20.2,116083,133236,23332,2157,57140
Carlow,2016Q4,26,172,22.7,131666,131154,23391,2152,57348
Carlow,2017Q1,16,115,15.1,128166,130284,23450,2147,57556
Carlow,2017Q2,26,164,18.9,105000,114800,23509,2142,57765
Carlow,2017Q3,31,126,18.8,143500,149361,23568,2138,57973
Carlow,2017Q4,27,183,23.299999999999997,123333,126889,23627,2133,58181
Carlow,2018Q1,47,157,22.1,137583,140827,23685,2128,58390
Carlow,2018Q2,44,162,22.1,129583,137725,23744,2123,58598
Carlow,2018Q3,40,214,31.5,136666,153367,23803,2118,58806
Carlow,2018Q4,97,239,37.6,162750,155395,23862,2114,59014
Carlow,2019Q1,41,155,22.0,145085,142770,23921,2109,59223
Carlow,2019Q2,41,165,26.299999999999997,166750,159457,23980,2104,59431
Carlow,2019Q3,40,204,30.799999999999997,145666,150812,24038,2099,59639
Carlow,2019Q4,73,207,33.9,166248,163144,24097,2094,59848
Carlow,2020Q1,25,148,22.4,147166,150404,24156,2090,60056
Carlow,2020Q2,45,89,13.0,142416,145832,24215,2085,60264
Carlow,2020Q3,66,133,22.5,172666,169465,24274,2080,60472
Carlow,2020Q4,62,246,45.8,186595,181780,24333,2075,60681
Carlow,2021Q1,35,157,26.0,147061,158587,24391,2070,60889
Carlow,2021Q2,79,160,28.4,175666,175277,24450,2066,61097
Carlow,2021Q3,44,204,37.1,185166,181587,24509,2061,61306
Carlow,2021Q4,94,310,64.8,211590,207119,24568,2056,61514
Carlow,2022Q1,60,186,34.4,195333,184068,24627,2051,61722
Carlow,2022Q2,50,192,38.1,208250,197535,24686,2047,61931
Cavan,2011Q1,61,65,7.7,114695,118761,33711,7277,73183
Cavan,2011Q2,28,78,7.6,88583,96823,33711,7277,73183
Cavan,2011Q3,45,103,10.6,98583,102205,33704,7206,73332
Cavan,2011Q4,37,94,7.9,78000,83449,33698,7136,73482
Cavan,2012Q1,20,80,6.2,72000,79876,33692,7066,73631
Cavan,2012Q2,23,105,6.8,54083,64554,33685,6996,73781
Cavan,2012Q3,23,100,8.4,79333,85075,33679,6926,73931
Cavan,2012Q4,33,138,11.7,78329,85437,33673,6856,74080
Cavan,2013Q1,15,86,7.0,75291,81793,33666,6786,74230
Cavan,2013Q2,17,98,6.4,51087,65761,33660,6716,74380
Cavan,2013Q3,16,152,11.6,62416,76401,33654,6646,74529
Cavan,2013Q4,21,227,15.8,59016,75591,33648,6576,74679
Cavan,2014Q1,25,210,9.8,26045,50745,33641,6505,74829
Cavan,2014Q2,22,170,12.5,57000,73698,33635,6435,74978
Cavan,2014Q3,23,210,16.9,65883,80611,33629,6365,75128
Cavan,2014Q4,32,300,23.5,66462,81109,33622,6295,75278
Cavan,2015Q1,17,180,14.2,73606,79406,33616,6225,75427
Cavan,2015Q2,12,216,16.6,66207,77121,33610,6155,75577
Cavan,2015Q3,24,178,18.2,82735,99928,33603,6085,75727
Cavan,2015Q4,38,281,25.4,79761,91636,33597,6015,75876
Cavan,2016Q1,20,164,15.7,85604,95964,33591,5945,76026
Cavan,2016Q2,47,168,16.1,83000,96156,33585,5875,76176
Cavan,2016Q3,43,223,21.3,89012,95928,33627,5844,76385
Cavan,2016Q4,35,267,25.7,84333,96748,33669,5814,76594
Cavan,2017Q1,35,224,22.700000000000003,78933,100198,33712,5783,76804
Cavan,2017Q2,39,206,22.1,97500,107110,33754,5753,77013
Cavan,2017Q3,31,211,21.9,92333,103978,33796,5722,77222
Cavan,2017Q4,38,267,32.2,111166,120630,33839,5692,77432
Cavan,2018Q1,35,171,19.7,95333,115682,33881,5662,77641
Cavan,2018Q2,39,213,25.6,103231,121005,33923,5631,77851
Cavan,2018Q3,38,210,25.5,114671,121083,33966,5601,78060
Cavan,2018Q4,47,279,38.1,133333,136416,34008,5570,78269
Cavan,2019Q1,33,185,22.9,113333,120421,34050,5540,78479
Cavan,2019Q2,32,220,26.7,124555,121806,34093,5510,78688
Cavan,2019Q3,38,219,30.1,140017,137108,34135,5479,78897
Cavan,2019Q4,36,267,36.1,125154,138292,34177,5449,79107
Cavan,2020Q1,37,192,24.599999999999998,123369,126080,34220,5418,79316
Cavan,2020Q2,30,130,17.2,134000,132393,34262,5388,79526
Cavan,2020Q3,63,195,22.4,117500,115056,34304,5357,79735
Cavan,2020Q4,68,332,44.2,120000,136029,34347,5327,79944
Cavan,2021Q1,54,232,32.8,140833,142178,34389,5297,80154
Cavan,2021Q2,59,211,30.7,150000,142846,34431,5266,80363
Cavan,2021Q3,43,331,44.4,124804,137078,34474,5236,80572
Cavan,2021Q4,44,270,46.1,155000,169745,34516,5205,80782
Cavan,2022Q1,45,195,33.5,165666,171775,34558,5175,80991
Cavan,2022Q2,79,214,37.3,171666,175075,34601,5145,81201
Clare,2011Q1,52,121,13.1,93000,109565,55616,11782,117196
Clare,2011Q2,49,137,15.600000000000001,113718,112567,55616,11782,117196
Clare,2011Q3,47,156,19.3,107000,124145,55624,11739,117277
Clare,2011Q4,57,176,19.7,81602,112366,55632,11696,117358
Clare,2012Q1,44,130,14.0,92666,107111,55640,11653,117439
Clare,2012Q2,38,166,17.4,90750,104984,55648,11610,117520
Clare,2012Q3,39,184,21.4,96166,119385,55656,11567,117601
Clare,2012Q4,39,255,23.200000000000003,84916,90115,55664,11524,117682
Clare,2013Q1,27,115,12.4,87342,107094,55673,11482,117763
Clare,2013Q2,31,191,16.4,73333,86420,55681,11439,117844
Clare,2013Q3,26,230,23.6,86833,102913,55689,11396,117925
Clare,2013Q4,39,240,23.1,77143,94300,55697,11353,118006
Clare,2014Q1,38,183,17.0,72680,93648,55705,11310,118087
Clare,2014Q2,34,237,22.2,71575,93828,55713,11267,118168
Clare,2014Q3,45,269,26.5,85246,99774,55721,11224,118249
Clare,2014Q4,44,514,52.5,78858,102724,55730,11182,118330
Clare,2015Q1,22,312,29.0,71916,96477,55738,11139,118411
Clare,2015Q2,39,290,29.6,80500,102298,55746,11096,118492
Clare,2015Q3,34,403,37.0,74516,90230,55754,11053,118573
Clare,2015Q4,51,398,47.2,104916,118565,55762,11010,118654
Clare,2016Q1,36,415,62.1,134460,139305,55770,10967,118735
Clare,2016Q2,50,327,38.6,101666,117320,55779,10925,118817
Clare,2016Q3,55,362,45.0,113500,125319,55877,10898,119175
Clare,2016Q4,85,374,48.4,118333,129761,55976,10871,119533
Clare,2017Q1,58,309,40.5,123333,131734,56075,10844,119892
Clare,2017Q2,50,315,62.800000000000004,115166,212313,56173,10817,120250
Clare,2017Q3,84,356,49.9,133916,139982,56272,10790,120609
Clare,2017Q4,62,427,56.2,124583,131837,56371,10764,120967
Clare,2018Q1,57,273,42.6,151666,155969,56469,10737,121325
Clare,2018Q2,55,285,44.1,155900,155586,56568,10710,121684
Clare,2018Q3,75,362,56.800000000000004,145833,156870,56667,10683,122042
Clare,2018Q4,56,415,65.0,150083,156434,56766,10656,122401
Clare,2019Q1,55,288,41.6,141000,144390,56864,10629,122759
Clare,2019Q2,120,316,50.3,154833,158951,56963,10603,123118
Clare,2019Q3,102,376,60.3,157666,159981,57062,10576,123476
Clare,2019Q4,107,437,74.8,168166,170726,57160,10549,123834
Clare,2020Q1,76,308,46.9,148916,151787,57259,10522,124193
Clare,2020Q2,72,220,34.4,156161,156448,57358,10495,124551
Clare,2020Q3,113,295,43.2,149333,148338,57457,10468,124910
Clare,2020Q4,133,437,78.1,178500,179091,57555,10442,125268
Clare,2021Q1,60,305,54.2,168333,180047,57654,10415,125626
Clare,2021Q2,119,332,56.7,168333,170986,57753,10388,125985
Clare,2021Q3,87,412,79.3,178833,192975,57851,10361,126343
Clare,2021Q4,146,489,97.4,183166,197936,57950,10334,126702
Clare,2022Q1,144,346,74.3,212166,215451,58049,10307,127060
Clare,2022Q2,175,373,77.2,207333,206112,58148,10281,127419
Cork,2011Q1,207,555,85.5,146167,152732,227675,33329,519032
Cork,2011Q2,236,660,103.30000000000001,156916,156349,227675,33329,519032
Cork,2011Q3,215,693,103.80000000000001,148283,151433,227766,33023,520223
Cork,2011Q4,219,937,118.4,108500,128030,227857,32717,521415
Cork,2012Q1,142,617,78.6,111666,127515,227948,32411,522607
Cork,2012Q2,142,759,97.19999999999999,102725,127666,228039,32105,523799
Cork,2012Q3,155,845,126.0,137091,149428,228130,31799,524991
Cork,2012Q4,170,1315,178.1,125833,134564,228221,31493,526182
Cork,2013Q1,104,672,88.2,114000,131526,228312,31187,527374
Cork,2013Q2,170,782,98.6,103166,126239,228403,30881,528566
Cork,2013Q3,117,938,135.5,125000,144147,228494,30575,529758
Cork,2013Q4,178,1429,208.7,131116,144923,228585,30269,530950
Cork,2014Q1,100,858,114.69999999999999,114581,133115,228676,29963,532141
Cork,2014Q2,140,1145,165.3,128083,144239,228767,29657,533333
Cork,2014Q3,144,1362,218.0,137666,160387,228858,29351,534525
Cork,2014Q4,177,1943,305.8,130750,157698,228949,29045,535717
Cork,2015Q1,138,1305,198.89999999999998,131083,152529,229040,28739,536909
Cork,2015Q2,177,1316,219.6,153582,166949,229131,28433,538100
Cork,2015Q3,195,1471,262.6,162500,178462,229222,28127,539292
Cork,2015Q4,268,1806,326.3,156811,181115,229313,27821,540484
Cork,2016Q1,202,1234,223.39999999999998,162123,181955,229404,27515,541676
Cork,2016Q2,229,1402,243.0,154287,173187,229495,27209,542868
Cork,2016Q3,251,1624,313.8,176333,193359,230024,27098,544466
Cork,2016Q4,280,1899,364.4,176222,193210,230553,26988,546064
Cork,2017Q1,280,1338,261.2,181203,194988,231083,26877,547663
Cork,2017Q2,316,1515,294.1,183333,194424,231612,26767,549261
Cork,2017Q3,341,1763,356.9,193333,202762,232141,26657,550860
Cork,2017Q4,455,2073,422.7,188558,202673,232671,26546,552458
Cork,2018Q1,343,1281,278.0,194666,216611,233200,26436,554057
Cork,2018Q2,445,1551,341.1,205000,219926,233729,26326,555655
Cork,2018Q3,446,1713,385.40000000000003,211944,225742,234259,26215,557254
Cork,2018Q4,504,2147,506.6,203784,232190,234788,26105,558852
Cork,2019Q1,424,1506,350.20000000000005,204167,230823,235317,25994,560451
Cork,2019Q2,534,1725,394.1,217666,228453,235847,25884,562049
Cork,2019Q3,437,1873,437.1,229348,233266,236376,25774,563647
Cork,2019Q4,752,2228,510.9,224166,229364,236905,25663,565246
Cork,2020Q1,596,1542,339.7,221666,218906,237435,25553,566844
Cork,2020Q2,332,1132,265.0,236666,233893,237964,25443,568443
Cork,2020Q3,732,1421,316.3,220833,220349,238493,25332,570041
Cork,2020Q4,794,2101,544.0,243719,254934,239023,25222,571640
Cork,2021Q1,459,1492,357.09999999999997,232439,240442,239552,25111,573238
Cork,2021Q2,563,1624,388.0,235666,238357,240081,25001,574837
Cork,2021Q3,550,1772,450.7,251333,252743,240611,24891,576435
Cork,2021Q4,654,2183,575.9,255000,263498,241140,24780,578034
Cork,2022Q1,497,1592,427.79999999999995,259000,268857,241669,24670,579632
Cork,2022Q2,856,1656,447.3,262912,270043,242199,24560,581231
Donegal,2011Q1,118,149,14.5,78733,98961,83918,23996,161137
Donegal,2011Q2,139,167,15.899999999999999,80000,95678,83918,23996,161137
Donegal,2011Q3,115,187,16.4,79646,86713,83918,23945,161039
Donegal,2011Q4,88,233,23.1,81646,97249,83919,23895,160942
Donegal,2012Q1,114,203,15.5,67166,76827,83919,23845,160845
Donegal,2012Q2,74,199,16.4,74583,81619,83920,23795,160748
Donegal,2012Q3,92,231,17.3,55666,75286,83921,23745,160650
Donegal,2012Q4,78,336,24.5,59333,72126,83921,23694,160553
Donegal,2013Q1,54,175,13.1,70082,74613,83922,23644,160456
Donegal,2013Q2,60,183,13.600000000000001,55808,73562,83923,23594,160359
Donegal,2013Q3,62,247,19.5,62875,78735,83923,23544,160261
Donegal,2013Q4,74,307,22.5,62458,73230,83924,23494,160164
Donegal,2014Q1,55,249,17.8,61706,75062,83925,23443,160067
Donegal,2014Q2,62,322,23.9,62666,75175,83925,23393,159970
Donegal,2014Q3,63,348,27.1,71333,79139,83926,23343,159872
Donegal,2014Q4,76,483,41.2,75790,89293,83927,23293,159775
Donegal,2015Q1,51,296,30.599999999999998,80666,104092,83927,23243,159678
Donegal,2015Q2,67,417,36.9,76516,88852,83928,23192,159581
Donegal,2015Q3,58,391,38.4,85500,98142,83929,23142,159483
Donegal,2015Q4,69,470,46.4,83750,98312,83929,23092,159386
Donegal,2016Q1,57,347,32.4,77250,93383,83930,23042,159289
Donegal,2016Q2,83,373,39.2,88583,105207,83931,22992,159192
Donegal,2016Q3,74,366,35.9,83083,97501,84037,22960,159489
Donegal,2016Q4,75,518,48.5,81666,93647,84144,22928,159786
Donegal,2017Q1,76,314,30.9,94333,98486,84250,22896,160083
Donegal,2017Q2,93,366,36.3,91666,99347,84357,22864,160380
Donegal,2017Q3,95,418,40.4,82600,96957,84463,22832,160677
Donegal,2017Q4,99,423,46.0,102615,108169,84570,22801,160974
Donegal,2018Q1,87,325,29.8,82166,91331,84677,22769,161271
Donegal,2018Q2,90,438,39.5,84833,90727,84783,22737,161568
Donegal,2018Q3,125,411,45.7,106750,110923,84890,22705,161865
Donegal,2018Q4,131,530,55.7,100333,104812,84996,22673,162162
Donegal,2019Q1,85,343,35.5,90219,102295,85103,22641,162459
Donegal,2019Q2,111,379,39.8,92083,104917,85210,22610,162756
Donegal,2019Q3,133,448,53.3,108333,118988,85316,22578,163053
Donegal,2019Q4,103,547,61.0,102596,112092,85423,22546,163350
Donegal,2020Q1,122,351,43.8,117750,124885,85529,22514,163647
Donegal,2020Q2,99,235,24.5,101000,105016,85636,22482,163944
Donegal,2020Q3,131,402,45.900000000000006,108665,112334,85742,22450,164241
Donegal,2020Q4,228,583,77.3,120500,131607,85849,22419,164538
Donegal,2021Q1,84,392,49.8,118666,127056,85956,22387,164835
Donegal,2021Q2,124,533,60.3,97833,114718,86062,22355,165132
Donegal,2021Q3,109,434,58.5,123333,134046,86169,22323,165429
Donegal,2021Q4,162,590,79.6,130250,134873,86275,22291,165726
Donegal,2022Q1,133,391,60.6,138500,155077,86382,22259,166023
Donegal,2022Q2,162,443,67.4,135666,151867,86489,22228,166321
Dublin,2011Q1,287,1412,364.9,214207,259102,527665,43707,1273069
Dublin,2011Q2,327,1602,387.79999999999995,205275,242742,527665,43707,1273069
Dublin,2011Q3,181,2028,534.6,212662,263866,527819,43171,1276783
Dublin,2011Q4,169,2408,541.0,186333,227011,527973,42636,1280498
Dublin,2012Q1,110,1739,411.1,183333,236994,528128,42100,1284212
Dublin,2012Q2,100,2245,508.29999999999995,174086,225435,528282,41565,1287927
Dublin,2012Q3,145,2636,697.8,197483,264664,528437,41029,1291641
Dublin,2012Q4,229,3874,904.8,191000,233835,528591,40494,1295356
Dublin,2013Q1,113,1885,451.20000000000005,168750,239633,528745,39958,1299070
Dublin,2013Q2,185,2444,618.7,188233,252430,528900,39423,1302785
Dublin,2013Q3,181,3309,891.0,205991,269878,529054,38887,1306499
Dublin,2013Q4,350,4195,1196.8,216833,288094,529209,38352,1310214
Dublin,2014Q1,301,2412,645.5,203750,267574,529363,37816,1313928
Dublin,2014Q2,441,3255,982.1,235833,302037,529517,37281,1317643
Dublin,2014Q3,432,4613,1537.8,278333,335309,529672,36745,1321357
Dublin,2014Q4,534,6179,1853.5,244666,301434,529826,36210,1325072
Dublin,2015Q1,445,3767,1149.5,249104,304622,529981,35674,1328786
Dublin,2015Q2,438,4500,1306.1,240049,290088,530135,35139,1332501
Dublin,2015Q3,563,4168,1445.3,285166,347372,530289,34603,1336215
Dublin,2015Q4,671,4501,1499.9,268913,333473,530444,34068,1339930
Dublin,2016Q1,792,3518,1153.0,265500,331099,530598,33532,1343644
